Symbol,Company,Rank,Status, TRI ,TB90 ,MKT CAP ,BOOK ,BOOK4Q ,P/B ,PRNOW ,PR12M ,PCHG12M ,
GRT.UN,"Granite REIT",36,Buy,34992.8008,2.4000,1050.9301,39.5472,38.0175,0.5525,22.5000,33.5100,-32.8559,
TIH,"Toromont Industries Ltd",37,Buy,34992.8008,2.4000,2115.9451,10.7369,9.2529,3.0269,32.5000,25.8900,25.5311,
QEC,"Questerre Energy Corp.",38,Buy/Sell,34992.8008,2.4000,548.4495,0.4259,0.3911,3.9494,2.7800,0.8600,223.2558,
QUX,"Quadra FNX Mining*",39,Buy,34992.8008,2.4000,1117.9712,13.5926,8.3465,1.1933,16.9500,16.9200,0.1773,
EMP.A,"Empire Company Ltd., A",40,Buy,34992.8008,2.4000,1469.3582,34.5601,32.3709,1.3573,46.6700,49.6200,-5.9452,
CIGI,"Colliers Intl Group*",41,Buy/Sell,34992.8008,2.4000,491.5575,10.4502,10.5794,1.6199,17.5000,31.8800,-45.1066,
BPO,"Brookfield Off Prop*",42,Buy,34992.8008,2.4000,8763.8555,7.5862,8.3576,2.9018,22.3300,24.1500,-7.5362,
OTEX,"Open Text Corporation*",43,Buy,34992.8008,2.4000,1931.4788,12.6680,11.1059,2.8826,37.7500,26.2600,43.7548,
RBI1,"Red Back Mining Inc.*",44,Buy,34992.8008,2.4000,1292.4991,2.7568,1.7244,2.4035,6.8500,5.6000,22.3214,
WFT,"West Fraser Timber Co.",45,Buy,34992.8008,2.4000,1564.8640,47.4991,50.2418,0.8253,39.2000,39.0000,0.5128,
BB,"BlackBerry Limited*",46,Buy,34992.8008,2.4000,73085.6406,7.8145,5.2517,15.6306,129.3700,90.2100,43.4098,
GO2,"Guide Exploration Ltd.",47,Buy,34992.8008,2.4000,1044.1118,8.4138,6.9261,1.6806,14.1400,16.1000,-12.1739,
ROC,"Rothmans Inc.",48,Buy,34992.8008,2.4000,2029.2607,0.0100,2.1763,2980.0000,29.8000,22.5200,32.3268,
TRE,"Sino-Forest Corp.*",49,Buy,34992.8008,2.4000,3276.6401,7.5051,6.8731,2.5778,20.0000,18.0000,11.1111,
DII.B,"Dorel Industries Inc*",50,Buy,34992.8008,2.4000,1128.4846,31.3027,27.2390,1.0484,33.7900,31.1900,8.3360,
SNC,"SNC-Lavalin Group Inc.",51,Buy,34992.8008,2.4000,7994.6792,6.2687,5.4341,8.1305,53.0000,41.4000,28.0193,
AGI2,"Alamos Gold Inc.*",52,Buy,34992.8008,2.4000,586.9191,1.6900,1.5889,3.5201,6.1500,5.6500,8.8496,
ONEX,"Onex Corporation*",53,Buy,34992.8008,2.4000,3514.1624,13.5535,15.9081,2.1107,28.5500,34.6000,-17.4855,
IMG,"Iamgold Corporation*",54,Buy,34992.8008,2.4000,2069.4590,6.2945,6.2445,1.0757,7.0000,7.0300,-0.4267,
MRU,"Metro Inc.",55,Buy,34992.8008,2.4000,3257.2720,18.2251,16.7434,1.6298,29.5000,34.9400,-15.5695,
SU,"Suncor Energy Inc.",56,Buy,34992.8008,2.4000,56803.0664,14.5317,10.8979,4.1840,60.8000,47.3000,28.5412,
ELD,"Eldorado Gold Corp.*",57,Buy,34992.8008,2.4000,2917.3196,1.4945,1.3832,5.4628,8.4400,5.2100,61.9962,
PRE,"Pacific Expl. & Prod.*",58,Buy,34992.8008,2.4000,2173.9023,6.4610,0.2193,1.5071,10.3400,7.0800,46.0452,
CEF.A,"Central Fund of Cda, A*",59,Buy,34992.8008,2.4000,1596.8523,12.0225,9.2247,0.9204,11.3600,9.6300,17.9647,
SJR.B,"Shaw Communications, B",60,Buy,34992.8008,2.4000,9814.6426,5.2148,4.6081,4.5483,22.9000,24.5200,-6.6069,
