Symbol,Company,Rank,Status, TRI ,TB90 ,MKT CAP ,BOOK ,BOOK4Q ,P/B ,PRNOW ,PR12M ,PCHG12M ,
DOI,,,,
Min (>=),,,,
Max (<),,,,
ATA,"ATS Automation Tooling",1,Buy/Sell,34992.8008,2.4000,671.5371,5.9422,5.9838,1.4624,8.6900,6.2500,39.0400,
BIR,"Birchcliff Energy Ltd.",2,Buy,34992.8008,2.4000,1435.1438,4.3477,3.7428,2.9372,12.7700,4.0000,219.2500,
IOL,"InterOil Corporation *",3,Buy,34992.8008,2.4000,1136.4976,5.5525,3.8366,5.7316,32.9000,37.2000,-11.5591,
CR,"Crew Energy Inc.",4,Buy,34992.8008,2.4000,1067.9100,7.3954,6.3908,1.6085,15.0000,7.1200,110.6742,
HPX,"Highpine Oil & Gas Ltd.",5,Buy,34992.8008,2.4000,922.6240,10.4361,14.7608,1.3032,13.6000,10.5800,28.5444,
TOG1,"Tristar Oil & Gas Ltd.",6,Buy,34992.8008,2.4000,2386.6516,9.9204,9.7082,2.1461,21.2900,7.5000,183.8667,
AGU,"Agrium Inc. *",7,Buy,34992.8008,2.4000,14185.3096,24.9944,11.8641,3.4758,89.8100,48.2500,86.1347,
PMCS,"PMC-Sierra Inc.*",8,Buy,34992.8008,2.4000,1998.7028,3.5621,2.8217,2.5971,9.5634,8.1132,17.8746,
PXE,"ProEx Energy Ltd.",9,Buy,34992.8008,2.4000,1178.0902,6.8680,6.8190,2.9557,20.3000,13.4600,50.8172,
NVA,"NuVista Energy Ltd.",10,Buy,34992.8008,2.4000,1186.5299,9.2188,6.7971,1.6271,15.0000,13.2000,13.6364,
NTR,"Nutrien Ltd. *",11,Buy,34992.8008,2.4000,56345.7031,21.9639,15.7181,8.1750,184.7600,93.5800,97.4353,
RUS,"Russel Metals Inc.",12,Buy,34992.8008,2.4000,1942.6224,14.9501,14.1856,2.1252,30.7100,29.8100,3.0191,
BBD.B,"Bombardier Inc.,B*",13,Buy,34992.8008,2.4000,14468.5039,1.6441,1.5824,4.8851,8.2500,6.2000,33.0645,
TLM,"Talisman Energy Inc.*",14,Buy,34992.8008,2.4000,19121.1309,8.7986,7.0772,2.1333,18.7700,18.1200,3.5872,
CFP,"Canfor Corp.",15,Buy,34992.8008,2.4000,1548.5165,12.4154,14.8055,0.8747,10.8600,12.3600,-12.1359,
AGI,"Alamos Gold Inc.*",16,Buy,34992.8008,2.4000,1182.5964,5.1741,5.9145,1.8471,9.8800,8.3100,18.8929,
TESO,"Tesco Corporation*",17,Buy,34992.8008,2.4000,1334.7764,9.3354,7.9805,3.7403,36.0965,28.9100,24.8582,
TXP,"Touchstone Exploration",18,Buy,34992.8008,2.4000,3877.1294,8.5931,4.3788,5.4579,46.9000,31.2300,50.1761,
GEA,"Gold Eagle Mines Ltd.",19,Buy,34992.8008,2.4000,1284.9156,3.5024,3.1086,3.4405,12.0500,5.8700,105.2811,
GNA,"Gerdau Ameristeel *",20,Buy,34992.8008,2.4000,6491.3252,9.8077,7.1946,1.4825,15.0000,12.3000,21.9512,
BNK,"Bankers Petroleum Ltd.*",21,Buy,34992.8008,2.4000,885.1299,1.2297,0.9725,7.5475,4.8500,1.2000,304.1667,
STE,"Santonia Energy Inc.",22,Buy,34992.8008,2.4000,1180.5229,5.6888,5.2738,2.3871,13.5800,7.0500,92.6241,
CLS,"Celestica Inc.*",23,Buy,34992.8008,2.4000,1793.5140,9.7392,9.5548,0.8929,8.9900,6.2900,42.9253,
ARE,"Aecon Group Inc.",24,Buy,34992.8008,2.4000,851.7207,6.5493,4.0393,2.5575,16.7500,12.8600,30.2488,
CMT,"Compton Petroleum Corp.",25,Buy,34992.8008,2.4000,1177.5142,6.7076,6.1708,1.3477,9.0400,9.6600,-6.4182,
CLL,"Connacher Oil & Gas",26,Buy,34992.8008,2.4000,865.2106,2.1924,2.0166,1.8701,4.1000,3.6500,12.3288,
CNQ,"Cdn Natural Resources",27,Buy,34992.8008,2.4000,49019.0195,25.1621,22.0251,3.6022,90.6400,72.1900,25.5576,
CSU,"Constellation Software*",28,Buy/Sell,34992.8008,2.4000,498.6680,4.3143,4.1237,6.6142,29.5000,26.0100,13.4179,
HSE,"Husky Energy Inc.",29,Buy,34992.8008,2.4000,39861.0703,15.6723,12.2036,3.0938,46.9400,38.7500,21.1355,
NXY,"Nexen Inc.",30,Buy,34992.8008,2.4000,17655.6055,12.5461,9.6367,2.6526,33.2800,29.5300,12.6989,
RBA,"Ritchie Bros. Auctions*",31,Buy,34992.8008,2.4000,2963.7739,4.4064,4.2273,5.8979,28.3000,22.7933,24.1593,
AXC,"Addax Petroleum Corp.*",32,Buy,34992.8008,2.4000,6350.7466,14.2204,9.2161,2.7788,40.5700,34.8000,16.5805,
TYK,"Tanganyika Oil Company*",33,Buy,34992.8008,2.4000,1491.0961,5.7643,3.8131,4.0275,24.0000,17.0100,41.0935,
ESI,"Ensign Energy Services",34,Buy,34992.8008,2.4000,3661.1470,8.9810,7.7218,2.6623,23.9100,18.5000,29.2432,
VT,"Viterra Inc.",35,Buy,34992.8008,2.4000,2903.8501,7.6084,5.3106,1.4520,12.2500,11.2500,8.8889,
